timestamp,system,M,size,build_ef,graph,k,search_ef,recall,qps_t,hop,dist,thread
2024-08-01 19:16:26.943,hnsw_pickle,32,1M,100,deep,1,30,97.4,2041,37.1,2274.1,48
2024-08-01 19:16:27.234,hnsw_pickle,32,1M,100,deep,1,50,98.9,1452,56.7,2833.1,48
2024-08-01 19:16:27.606,hnsw_pickle,32,1M,100,deep,1,70,99.4,1141,76.5,3346.3,48
2024-08-01 19:16:28.055,hnsw_pickle,32,1M,100,deep,1,90,99.5,950,96.4,3828.0,48
2024-08-01 19:16:28.541,hnsw_pickle,32,1M,100,deep,1,100,99.6,882,106.4,4058.6,48
2024-08-01 19:16:29.400,hnsw_pickle,32,1M,100,deep,1,200,99.8,511,206.1,6121.3,48
2024-08-01 19:16:30.550,hnsw_pickle,32,1M,100,deep,1,300,99.9,367,306.0,7913.0,48
2024-08-01 19:16:32.009,hnsw_pickle,32,1M,100,deep,1,400,99.9,289,405.9,9545.6,48
2024-08-01 19:16:33.748,hnsw_pickle,32,1M,100,deep,1,500,99.9,241,505.9,11066.4,48
2024-08-01 19:16:33.865,hnsw_pickle,32,1M,100,deep,10,10,85.6,3694,17.8,1636.4,48
2024-08-01 19:16:34.028,hnsw_pickle,32,1M,100,deep,10,20,92.7,2599,27.4,1969.6,48
2024-08-01 19:16:34.235,hnsw_pickle,32,1M,100,deep,10,30,95.5,2043,37.1,2274.1,48
2024-08-01 19:16:34.527,hnsw_pickle,32,1M,100,deep,10,50,97.8,1456,56.7,2833.1,48
2024-08-01 19:16:34.901,hnsw_pickle,32,1M,100,deep,10,70,98.7,1139,76.5,3346.3,48
2024-08-01 19:16:35.355,hnsw_pickle,32,1M,100,deep,10,90,99.1,949,96.4,3828.0,48
2024-08-01 19:16:35.843,hnsw_pickle,32,1M,100,deep,10,100,99.2,874,106.4,4058.6,48
2024-08-01 19:16:36.678,hnsw_pickle,32,1M,100,deep,10,200,99.8,509,206.1,6121.3,48
2024-08-01 19:16:37.830,hnsw_pickle,32,1M,100,deep,10,300,99.9,369,306.0,7913.0,48
2024-08-01 19:16:39.289,hnsw_pickle,32,1M,100,deep,10,400,99.9,290,405.9,9545.6,48
2024-08-01 19:16:41.026,hnsw_pickle,32,1M,100,deep,10,500,99.9,244,505.9,11066.4,48
2024-08-01 19:16:41.550,hnsw_pickle,32,1M,100,deep,100,100,97.1,876,106.4,4058.6,48
2024-08-01 19:16:42.421,hnsw_pickle,32,1M,100,deep,100,200,99.0,509,206.1,6121.3,48
2024-08-01 19:16:43.611,hnsw_pickle,32,1M,100,deep,100,300,99.5,368,306.0,7913.0,48
2024-08-01 19:16:45.099,hnsw_pickle,32,1M,100,deep,100,400,99.7,291,405.9,9545.6,48
2024-08-01 19:16:46.890,hnsw_pickle,32,1M,100,deep,100,500,99.8,243,505.9,11066.4,48
2024-08-01 19:44:27.804,hnsw_pickle,32,1M,300,deep,1,1,51.7,7639,9.0,651.7,48
2024-08-01 19:44:27.876,hnsw_pickle,32,1M,300,deep,1,5,82.0,6017,13.6,869.9,48
2024-08-01 19:44:27.975,hnsw_pickle,32,1M,300,deep,1,10,90.8,4307,18.4,1065.6,48
2024-08-01 19:44:28.122,hnsw_pickle,32,1M,300,deep,1,20,96.5,2891,27.8,1409.3,48
2024-08-01 19:44:28.314,hnsw_pickle,32,1M,300,deep,1,30,98.1,2218,37.5,1725.4,48
2024-08-01 19:44:28.601,hnsw_pickle,32,1M,300,deep,1,50,99.2,1489,57.2,2308.7,48
2024-08-01 19:44:28.963,hnsw_pickle,32,1M,300,deep,1,70,99.6,1187,77.0,2845.4,48
2024-08-01 19:44:29.403,hnsw_pickle,32,1M,300,deep,1,90,99.8,977,96.9,3347.8,48
2024-08-01 19:44:29.879,hnsw_pickle,32,1M,300,deep,1,100,99.8,898,106.8,3589.6,48
2024-08-01 19:44:30.711,hnsw_pickle,32,1M,300,deep,1,200,99.9,512,206.6,5747.7,48
2024-08-01 19:44:31.871,hnsw_pickle,32,1M,300,deep,1,300,100.0,367,306.5,7622.6,48
2024-08-01 19:44:33.340,hnsw_pickle,32,1M,300,deep,1,400,100.0,290,406.5,9330.7,48
2024-08-01 19:44:35.117,hnsw_pickle,32,1M,300,deep,1,500,100.0,238,506.4,10921.5,48
2024-08-01 19:44:35.217,hnsw_pickle,32,1M,300,deep,10,10,86.6,4284,18.4,1065.6,48
2024-08-01 19:44:35.364,hnsw_pickle,32,1M,300,deep,10,20,93.7,2909,27.8,1409.3,48
2024-08-01 19:44:35.558,hnsw_pickle,32,1M,300,deep,10,30,96.2,2218,37.5,1725.4,48
2024-08-01 19:44:35.839,hnsw_pickle,32,1M,300,deep,10,50,98.3,1533,57.2,2308.7,48
2024-08-01 19:44:36.202,hnsw_pickle,32,1M,300,deep,10,70,99.0,1186,77.0,2845.4,48
2024-08-01 19:44:36.642,hnsw_pickle,32,1M,300,deep,10,90,99.4,979,96.9,3347.8,48
2024-08-01 19:44:37.120,hnsw_pickle,32,1M,300,deep,10,100,99.5,899,106.8,3589.6,48
2024-08-01 19:44:37.955,hnsw_pickle,32,1M,300,deep,10,200,99.9,514,206.6,5747.7,48
2024-08-01 19:44:39.116,hnsw_pickle,32,1M,300,deep,10,300,99.9,368,306.5,7622.6,48
2024-08-01 19:44:40.578,hnsw_pickle,32,1M,300,deep,10,400,100.0,290,406.5,9330.7,48
2024-08-01 19:44:42.336,hnsw_pickle,32,1M,300,deep,10,500,100.0,241,506.4,10921.5,48
2024-08-01 19:44:42.848,hnsw_pickle,32,1M,300,deep,100,100,97.8,905,106.8,3589.6,48
2024-08-01 19:44:43.727,hnsw_pickle,32,1M,300,deep,100,200,99.3,511,206.6,5747.7,48
2024-08-01 19:44:44.933,hnsw_pickle,32,1M,300,deep,100,300,99.7,364,306.5,7622.6,48
2024-08-01 19:44:46.444,hnsw_pickle,32,1M,300,deep,100,400,99.8,288,406.5,9330.7,48
2024-08-01 19:44:48.277,hnsw_pickle,32,1M,300,deep,100,500,99.9,241,506.4,10921.5,48
2024-08-01 20:32:36.822,hnsw_pickle,32,1M,500,deep,1,1,52.0,5866,8.3,1123.4,48
2024-08-01 20:32:36.908,hnsw_pickle,32,1M,500,deep,1,5,82.5,4947,12.9,1344.5,48
2024-08-01 20:32:37.021,hnsw_pickle,32,1M,500,deep,1,10,91.1,3744,17.7,1542.5,48
2024-08-01 20:32:37.184,hnsw_pickle,32,1M,500,deep,1,20,96.3,2600,27.2,1892.1,48
2024-08-01 20:32:37.391,hnsw_pickle,32,1M,500,deep,1,30,98.1,2036,36.8,2214.5,48
2024-08-01 20:32:37.689,hnsw_pickle,32,1M,500,deep,1,50,99.2,1424,56.5,2811.8,48
2024-08-01 20:32:38.072,hnsw_pickle,32,1M,500,deep,1,70,99.7,1112,76.3,3361.0,48
2024-08-01 20:32:38.535,hnsw_pickle,32,1M,500,deep,1,90,99.8,925,96.2,3875.8,48
2024-08-01 20:32:39.036,hnsw_pickle,32,1M,500,deep,1,100,99.8,851,106.2,4123.0,48
2024-08-01 20:32:39.900,hnsw_pickle,32,1M,500,deep,1,200,100.0,494,205.9,6337.0,48
2024-08-01 20:32:41.095,hnsw_pickle,32,1M,500,deep,1,300,100.0,356,305.9,8260.0,48
2024-08-01 20:32:42.611,hnsw_pickle,32,1M,500,deep,1,400,100.0,279,405.8,10011.6,48
2024-08-01 20:32:44.436,hnsw_pickle,32,1M,500,deep,1,500,100.0,232,505.8,11642.9,48
